iter	RMSE
0	0.8255310932
1	0.8094252703
2	0.7937576284
3	0.7790444469
4	0.764882765
5	0.751064136
6	0.7374105192
7	0.724821914
8	0.7118958655
9	0.7002461214
10	0.6888649072
11	0.6770808217
12	0.6670673633
13	0.6560559459
14	0.6451035672
15	0.6353125739
16	0.6252648032
17	0.6169062225
18	0.6080984909
19	0.5995056936
20	0.5910370752
21	0.5826165209
22	0.574752193
23	0.5673833726
24	0.560025703
25	0.552982692
26	0.5453926605
27	0.5386459354
28	0.5320533231
29	0.5253858674
30	0.5193899488
31	0.5138267095
32	0.508559279
33	0.5026940573
34	0.4975171462
35	0.4917040689
36	0.486701064
37	0.4822270628
38	0.4772673641
39	0.4726412069
40	0.46798912
41	0.4637461806
42	0.4592943739
43	0.4556545455
44	0.4525045935
45	0.4485211178
46	0.4450926825
47	0.4416263976
48	0.4385183822
49	0.4354991797
50	0.4322002618
51	0.4294548788
52	0.4263797868
53	0.4233939273
54	0.4205844813
55	0.4174292795
56	0.4149066743
57	0.4124191371
58	0.4098340424
59	0.4070716256
60	0.4047523354
61	0.4028323167
62	0.4004366984
63	0.398020582
64	0.395912576
65	0.3940937211
66	0.3919476939
67	0.3897969377
68	0.387661913
69	0.3861105276
70	0.3843477571
71	0.3823037956
72	0.3808545638
73	0.3790181312
74	0.3776638476
75	0.376030161
76	0.3748674524
77	0.3734655135
78	0.3719281324
79	0.3706141231
80	0.3690506042
81	0.3673731897
82	0.3658776116
83	0.3645968637
84	0.3630889617
85	0.3619095951
86	0.3606694442
87	0.3593884856
88	0.3581022929
89	0.3570356669
90	0.3558205383
91	0.3545722563
92	0.3534626796
93	0.352629179
94	0.3515345033
95	0.3504188314
96	0.3494833806
97	0.3482876207
98	0.3475296822
99	0.3465738966
100	0.3457069349
101	0.3448075409
102	0.3438654089
103	0.3432680659
104	0.3424367611
105	0.3415736674
106	0.3409104036
107	0.3402169018
108	0.3393689455
109	0.3387684449
110	0.3379148597
111	0.3371439086
112	0.3365049573
113	0.3357558212
114	0.3351585207
115	0.3345958959
116	0.3338324886
117	0.3330973014
118	0.3324735203
119	0.3316238538
120	0.3309312646
121	0.3301721935
122	0.3294809682
123	0.3289364088
124	0.3283668834
125	0.3276688103
126	0.3271873646
127	0.3266178003
128	0.3257992901
129	0.3252548109
130	0.3247449036
131	0.3241295277
132	0.3235944641
133	0.3231365636
134	0.3224858907
135	0.3219927238
136	0.3213393808
137	0.3207935892
138	0.3202279088
139	0.3196773329
140	0.3192399107
141	0.318757178
142	0.3184154754
143	0.3180258886
144	0.3175592442
145	0.3171494634
146	0.3168101655
147	0.3165384409
148	0.3161953678
149	0.3158781145
150	0.3154338416
151	0.3150982145
152	0.3146402083
153	0.3142032779
154	0.3139229593
155	0.3134494142
156	0.3131817678
157	0.312844051
158	0.3125834846
159	0.3122412841
160	0.3119075073
161	0.3116281773
162	0.3113489976
163	0.3109291462
164	0.3105118107
165	0.3099162103
166	0.3094334945
167	0.3090913024
168	0.3087555189
169	0.3082740341
170	0.3078484963
171	0.307395687
172	0.3070583903
173	0.3068217397
174	0.3065651051
175	0.3064836567
176	0.3062147499
177	0.305992808
178	0.3057535683
179	0.3053865731
180	0.3050770875
181	0.3045085276
182	0.3042759917
183	0.3037963662
184	0.3034875914
185	0.3032527508
186	0.303056645
187	0.3028380669
188	0.3025977311
189	0.3020461161
190	0.3018155711
191	0.3016071316
192	0.3013808863
193	0.3011168214
194	0.3009198992
195	0.3006927833
196	0.300437006
197	0.3001460619
198	0.2999473603
199	0.2996558443
200	0.2994313963
201	0.2993105295
202	0.2990619657
203	0.2988580375
204	0.2985503566
205	0.2982111201
206	0.297852871
207	0.2975870564
208	0.2971389531
209	0.2968094053
210	0.2964222444
211	0.2962737531
212	0.2960913713
213	0.2957903199
214	0.2956605303
215	0.2954565517
216	0.2950964748
217	0.2949053175
218	0.2947086328
219	0.2944222311
220	0.2940925966
221	0.2939126554
222	0.2937093713
223	0.2934811588
224	0.2931502143
225	0.2928855428
226	0.2927057307
227	0.2925243992
228	0.2923876514
229	0.2921655181
230	0.2919343459
231	0.2917715365
232	0.2914763913
233	0.2913288915
234	0.291142821
235	0.2909944439
236	0.2909017052
237	0.2906341129
238	0.290509848
239	0.2902770124
240	0.2901699399
241	0.2901218213
242	0.289966121
243	0.2897603462
244	0.2895977254
245	0.2893166079
246	0.2889973372
247	0.2887113052
248	0.2885314385
249	0.2884147058
250	0.2881562029
251	0.2880552291
252	0.2878569794
253	0.2876728004
254	0.2874616148
255	0.2871396694
256	0.2868799856
257	0.2865905262
258	0.2864349846
259	0.2860641061
260	0.2858805374
261	0.2856209832
262	0.2853391729
263	0.2850985832
264	0.2849381717
265	0.2847746567
266	0.2846112677
267	0.2843569767
268	0.2841523873
269	0.2837141913
270	0.2835510577
271	0.2832592952
272	0.2830178034
273	0.2828214732
274	0.2825876101
275	0.2823438423
276	0.2821621448
277	0.2819066764
278	0.2817617499
279	0.2815888042
280	0.2814297436
281	0.2812838758
282	0.2811140431
283	0.2809386832
284	0.2807752382
285	0.2805547027
286	0.280331569
287	0.2801583846
288	0.2799990864
289	0.2797616705
290	0.2795377808
291	0.2794127558
292	0.2792252669
293	0.2790614393
294	0.2786028187
295	0.278416519
296	0.27822846
297	0.2779679145
298	0.2777795906
299	0.2775553615
300	0.277339878
301	0.2771811216
302	0.2769905003
303	0.2768027536
304	0.276555356
305	0.2762319685
306	0.2759315853
