iter	Passed	Remaining
0	27	41137
1	57	43068
2	85	42630
3	113	42463
4	143	42866
5	167	41728
6	194	41407
7	219	40874
8	245	40698
9	269	40109
10	294	39823
11	319	39571
12	346	39580
13	369	39265
14	394	39097
15	418	38805
16	445	38863
17	471	38838
18	499	38952
19	527	39004
20	553	38976
21	579	38935
22	606	38951
23	632	38904
24	659	38919
25	686	38911
26	712	38882
27	739	38857
28	765	38813
29	792	38821
30	820	38864
31	846	38846
32	874	38858
33	900	38816
34	925	38757
35	954	38824
36	986	39020
37	1019	39225
38	1045	39148
39	1071	39104
40	1103	39269
41	1129	39226
42	1155	39163
43	1188	39343
44	1215	39289
45	1241	39229
46	1267	39180
47	1294	39158
48	1320	39097
49	1346	39049
50	1373	39023
51	1401	39013
52	1427	38966
53	1453	38929
54	1481	38910
55	1506	38852
56	1532	38798
57	1559	38782
58	1587	38762
59	1613	38714
60	1639	38677
61	1665	38632
62	1692	38605
63	1720	38605
64	1749	38615
65	1780	38684
66	1805	38624
67	1831	38574
68	1858	38537
69	1885	38508
70	1912	38500
71	1939	38466
72	1965	38421
73	1992	38389
74	2023	38454
75	2051	38445
76	2078	38409
77	2106	38397
78	2133	38384
79	2159	38332
80	2202	38582
81	2229	38556
82	2255	38512
83	2281	38461
84	2307	38420
85	2335	38401
86	2362	38375
87	2388	38318
88	2414	38286
89	2441	38256
90	2467	38210
91	2493	38154
92	2519	38119
93	2544	38063
94	2571	38036
95	2596	37977
96	2623	37945
97	2650	37911
98	2677	37890
99	2704	37856
100	2731	37835
101	2757	37800
102	2783	37757
103	2811	37734
104	2838	37713
105	2865	37678
106	2889	37623
107	2915	37582
108	2944	37570
109	2972	37557
110	3005	37607
111	3030	37562
112	3057	37528
113	3084	37496
114	3111	37474
115	3140	37468
116	3168	37457
117	3197	37444
118	3225	37428
119	3254	37424
120	3283	37420
121	3312	37416
122	3341	37413
123	3371	37410
124	3399	37399
125	3430	37405
126	3459	37401
127	3485	37359
128	3513	37339
129	3539	37304
130	3565	37261
131	3591	37225
132	3619	37200
133	3647	37181
134	3679	37202
135	3705	37167
136	3740	37212
137	3769	37202
138	3795	37166
139	3823	37141
140	3850	37109
141	3876	37069
142	3905	37058
143	3936	37064
144	3965	37053
145	3993	37038
146	4023	37033
147	4054	37035
148	4084	37036
149	4114	37033
150	4144	37024
151	4175	37026
152	4202	37001
153	4234	37008
154	4271	37069
155	4309	37123
156	4337	37107
157	4386	37261
158	4415	37243
159	4446	37239
160	4474	37214
161	4503	37199
162	4533	37186
163	4563	37176
164	4593	37165
165	4622	37150
166	4650	37120
167	4680	37109
168	4713	37120
169	4742	37100
170	4770	37078
171	4798	37052
172	4827	37025
173	4855	37005
174	4884	36982
175	4902	36880
176	4930	36851
177	4957	36817
178	4985	36791
179	5021	36820
180	5048	36788
181	5075	36755
182	5102	36718
183	5129	36686
184	5157	36661
185	5187	36646
186	5204	36542
